Joueur,Taille,Poids,Apparitions,Minutes jouées,Buts,Passes Décisives,Jaune,Rouge,Tirs par match,Précision,Duels aériens gagnés,Homme du match,Note,Décision
Sergio Rico,187,83,0,22,0,0,0,0,0,66.7,0,0,6.89,0
Alphonse Areola,190,80,3,301,0,0,0,0,0.3,61.6,0,2,7.42,0
Rémy Cabella,171,68,8,724,3,5,0,0,1.2,86.4,0.2,1,7.65,1
Benjamin André,180,76,14,1218,1,1,4,0,0.9,84.8,3.5,2,7.34,1
Jonathan David,175,70,15,1331,9,3,3,0,3.3,83.9,0.3,3,7.33,1
Adam Ounas,172,65,7,665,1,1,1,0,1.9,80.2,0.4,0,70.8,1
Jonathan Bamba,175,72,14,1256,4,3,3,0,2,82.6,0.9,0,6.97,1
Ismaily,177,82,11,968,2,1,0,0,0.8,79.3,1.6,0,6.85,1
Leny Yoro,190,0,1,100,0,0,0,0,0,72.7,2.5,0,6.69,0
Tiago Djalo,190,0,13,1109,2,0,5,0,0.7,92.1,1.3,2,6.68,1
Angel Gomes,161,61,14,1107,1,1,4,0,1.5,88.3,0.1,0,6.63,1
Yusuf Yazici,183,74,3,202,1,0,1,0,0,1.3,81.6,0,6.55,0
José Fonté,187,81,14,1260,1,0,4,0,0.6,89.7,2.2,1,6.55,0
Lucas Chevalier,189,78,9,810,0,0,0,0,0,60.4,0,0,6.53,0
EdonZhegrova,174,66,3,234,0,0,1,0,1.5,87.6,0,0,6.52,0
Timothy Weah,183,66,3,316,0,2,0,0,0.8,81.4,0.3,0,6.49,1
André Gomes,188,84,6,537,0,0,2,0,0.8,85,0.7,0,6.49,1
Allessandro Ribiero,198,0,4,393,1,0,0,0,031,90.3,0.5,0,6.43,1
Bafodé Diakaté,185,74,12,1120,0,0,4,0,0.6,86.7,1.4,0,6.42,1
Akim Zedadka,173,72,4,353,1,0,1,0,0.4,84.8,0.6,0,6.39,0
Gabriel Gudmundsson,181,74,1,105,0,0,0,0,0.2,75.8,0.2,0,6.28,1
Jonas Martin,184,77,1,158,0,0,2,0,0,86,0.9,0,6.20,0
Mohamed Bayo,188,76,2,211,0,0,0,0,0.7,56.8,0.4,0,6.16,0
Sofiane Diop,175,65,1,66,1,0,0,0,2,69.2,2,0,7.56,1
Breel Embolo,187,88,13,1094,7,2,2,0,1.6,68,1.1,1,7.1,1
Aleksander Golovin,180,69,11,969,3,3,1,0,1.9,75.3,0.4,2,7.04,1
Ciao Henrique,178,68,12,1086,1,5,2,0,0.5,78.5,0.1,1,7,1
Axel Disasi,190,83,15,1350,1,3,2,0,0.7,82.5,2.3,1,6.99,1
Wissam Ben Yedder,170,68,11,814,6,2,1,0,1.7,79.8,0.3,1,6.94,1
Youssouf Fofana,185,75,14,1166,1,0,1,1,1.1,81.7,0.7,0,6.92,1
Myron Boadu,183,67,0,17,1,0,0,0,1,33.3,0,0,6.91,0
Mohamed Camara,174,69,9,802,0,0,3,1,0.9,90.1,0.5,0,6.87,1
Benoit Badiashile,194,75,9,839,2,0,3,0,0.5,86.1,1.9,0,6.86,1
Alexander Nubel,193,86,15,1350,0,0,2,0,0,67.1,0.2,1,6.86,1
Kevin Volland,179,85,3,284,2,1,0,0,1.7,64.4,1,1,6.84,1
Vanderson,180,0,9,857,0,1,1,1,0.5,81.5,0.88,1,6.74,1
Guillermo Maripan,193,84,9,766,2,0,0,1,0.4,88.2,1.6,0,6.70,0
Krépin Diatta,173,68,8,877,1,0,2,0,1.3,83.6,1.5,0,6.59,1
Jean Lucas,181,78,3,289,0,0,0,0,0.8,88.2,0.2,0,6.58,0
Soungoutou Magassa,0,0,0,73,0,0,0,0,0,84.6,1,0,6.46,0
Takumi Minamino,174,68,5,333,1,3,1,0,0.8,76.6,0.4,0,6.44,1
Ruben Aguilar,172,71,4,327,0,0,1,0,0,77.1,0.1,0,6.41,0
Malang Sarr,182,73,3,242,0,0,1,0,0,87.8,0.7,0,6.37,1
Maghnes Akliouche,183,0,3,249,0,0,3,0,0.2,81.7,0.3,0,6.35,1
Gelson Martins,173,72,1,109,0,0,0,0,1.3,85.4,0,0,6.35,0
Alexandre Lacazette,175,73,15,1303,9,3,2,0,3.1,73.1,0.7,2,7.44,1
Lucas Paqueta,180,72,2,161,0,0,0,0,2.5,87.1,2,0,7.32,1
Nicolas Tagliafico,172,66,15,1329,1,2,2,0,0.7,88.1,1,1,6.99,1
Malo Gusto,179,0,14*,1218,0,1,1,0,0.4,85.2,0.4,0,6.93,1
Karl Toko Ekambi,183,74,11,1029,4,1,1,0,1.9,84.4,0.9,2,6.93,1
Tete,175,70,11,879,5,2,2,0,1.9,82.1,0.2,2,6.93,1
Johann Lepenant,176,0,9,833,0,0,1,0,0.8,88.4,0.8,0,6.73,0
Thiago Mendes,176,78,14,1171,0,1,2,0,0.3,84.2,1.7,0,6.69,0
Maxence Caqueret,174,63,11,976,0,1,1,0,0.6,87.1,0.5,0,6.66,1
Castello Lukeba,184,0,14,1260,1,0,2,0,0.2,88.9,1.1,0,6.65,1
Corentin Tolisso,181,81,7,546,0,0,1,0,0.5,88.5,0.7,0,6.64,0
Jerome Boateng,192,90,4,294,0,0,0,0,0,82.2,1.3,0,6.56,0
Houssam Aouar,175,70,6,349,1,0,2,0,1,81.3,0.5,0,6.55,1
Rayan Cherki,176,71,1,215,0,3,1,0,0.8,81.5,0,0,6.55,1
Anthony Lopes,184,81,12,1017,0,0,0,1,0,78,0.1,0,6.55,0
Sinaly Diomandé,184,74,4,365,0,0,0,1,0.2,87.4,3.2,0,6.5,1
Jeff Reine-Adélaide,183,75,1,305,0,0,1,0,0.8,89.6,0.3,6.49,1
Rémy Riou,191,81,3,331,0,0,0,0,0,81.6,0,0,6.46,0
Romain Faivre,180,75,3,260,0,1,0,0,0.6,91.4,0.3,0,6.43,1
Moussa Dembele,183,73,6,573,2,0,1,0,1.6,76.5,1.3,1,6.41,0
Henrique,173,71,1,127,0,0,0,0,0.3,86.8,1.3,0,6.35,1
Damien da Silva,184,82,1,156,0,0,2,0,0.2,84.3,1.4,0,6.28,0
Bradley Barcola,186,0,0,76,0,0,0,0,0.1,75,0.1,0,6.1,1
Pau Lopez,189,77,12,1080,0,1,1,0,0,75.4,0.2,0,7.07,1
Jonathan Clauss,178,69,14,1112,1,5,0,0,1.4,76.3,0.2,2,7.03,1
Nuno Tavares,183,75,11,1102,3,0,4,0,2,80.3,0.5,1,6.95,1
Alexis Sanchez,169,62,10,862,5,0,1,0,1.9,81.6,1.2,2,6.88,1
Chancel Mbemba,182,81,15,1306,1,0,0,0,0.7,85.1,1.9,1,6.86,1
Eric Bailly,187,77,2,211,0,0,1,0,0.3,84.6,2,0,6.84,1
Valentin Rongier,172,67,12,1087,0,0,4,0,0.5,89,1.1,0,6.82,0
Luis Suarez,185,74,2,291,3,1,1,0,2.3,67.9,0.9,0,6.79,0
Leonardo Balerdi,187,85,14,1203,0,1,2,0,0.1,85.4,1.6,0,6.77,1
Jordan Veretout,177,67,10,9983,1,2,1,0,0.6,86.4,0.5,1,6.76,1